Estado,latitude,longitude,Fotoclubes_Estado
SP,-23.5506507,-46.6333824,
SP,-23.433162,-45.083415,
SP,-21.178333,-47.8066671,SP
SP,-21.178333,-47.8066671,SP
SP,-22.61222,-46.70056,SP
AM,-3.1316333,-59.9825041,AM
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,SP
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
PB,-7.1215981,-34.882028,
SP,-23.7080345,-46.5506747,
SP,-23.1531055,-47.0580347,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
SP,-22.4136363,-49.1351479,SP
SP,-23.5506507,-46.6333824,
SP,-23.4446715,-46.9167722,
RS,-30.0324999,-51.2303767,RS
PR,-23.3112878,-51.1595023,PR
SP,-22.217108,-49.95006,
SP,-23.5506507,-46.6333824,
SP,-23.7080345,-46.5506747,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
RS,-30.0324999,-51.2303767,RS
RS,-30.0324999,-51.2303767,RS
SP,-23.5506507,-46.6333824,SP
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
MG,-19.9227318,-43.9450948,
SP,-23.4430602,-46.524459,
SP,-23.5506507,-46.6333824,SP
SP,-23.6195923,-46.5688323,
SP,-22.70111,-46.76444,SP
RS,-29.1684951,-51.1796197,RS
RS,-29.1684951,-51.1796197,RS
RS,-29.1684951,-51.1796197,RS
RS,-29.1684951,-51.1796197,RS
SP,-23.5506507,-46.6333824,
SP,-23.1860383,-45.8866816,
RS,-30.0324999,-51.2303767,RS
AM,-3.1316333,-59.9825041,
PR,-23.3112878,-51.1595023,PR
MG,-17.286102,-42.7312574,
BA,-12.9822499,-38.4812772,
ES,-20.6718755,-40.4984617,SP
DF,-10.3333333,-53.2,
SP,-23.5506507,-46.6333824,
SP,-23.30528,-45.96583,
SP,-21.178333,-47.8066671,SP
SP,-22.2294981,-50.8922333,PR
SP,-23.1860383,-45.8866816,SP
SP,-23.7080345,-46.5506747,
RS,-30.0324999,-51.2303767,RS
RS,-30.0324999,-51.2303767,
SP,-23.09028,-47.21806,SP
RR,2.8208478,-60.6719582,RR
SP,-22.72528,-47.64917,
SP,-20.8125851,-49.3804212,SP
RS,-29.1684951,-51.1796197,RS
SP,-22.90556,-47.06083,SP
RJ,-22.9110137,-43.2093727,
PR,-23.3112878,-51.1595023,PR
MT,-15.5986686,-56.0991301,
RS,-30.0324999,-51.2303767,RS
SP,-23.5506507,-46.6333824,
SP,-21.178333,-47.8066671,SP
PR,-23.3112878,-51.1595023,PR
SP,-23.5506507,-46.6333824,
SP,-22.70111,-46.76444,
SP,-23.5506507,-46.6333824,
SP,-21.178333,-47.8066671,SP
SP,-23.5506507,-46.6333824,
SP,-22.90556,-47.06083,SP
SP,-21.178333,-47.8066671,SP
PA,-0.1535664,-50.3879223,
PA,-0.1535664,-50.3879223,
PA,-0.1535664,-50.3879223,
PA,-0.1535664,-50.3879223,
SP,-23.5506507,-46.6333824,
